Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gpi-soya-chaap-masala-100g,GPI Soya Chaap Masala 100g,<p>Special Soya Chaap Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-SCM-100,100.0,shopify,100,deny,manual,70.00,,true,true,,,,,,/products/GPI Soya Chaap Masala 100g.png,1,"",false,,,,kg,,70.00,active
gpi-sambhar-masala-100g,GPI Sambhar Masala 100g,<p>Traditional Sambhar Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-SM-100,100.0,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Sambhar Masala 100g.png,1,"",false,,,,kg,,65.00,active
gpi-red-chilli-powder,GPI Red Chilli Powder,<p>Pure Red Chilli Powder from GPI.</p>,GPI,Uncategorized,"",Spices,true,Title,Default Title,,,,,,,,GPI-RCP,250.0,shopify,100,deny,manual,75.00,,true,true,,,,,,/products/GPI Red Chilli Powder.png,1,"",false,,,,kg,,75.00,active
gpi-raita-masala-100g,GPI Raita Masala 100g,<p>Refreshing Raita Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-RM-100,100.0,shopify,100,deny,manual,60.00,,true,true,,,,,,/products/GPI Raita Masala 100g.png,1,"",false,,,,kg,,60.00,active
gpi-premium-detergent-powder,GPI Premium Detergent Powder,<p>Quality Premium Detergent Powder from GPI.</p>,GPI,Uncategorized,"",Detergent,true,Title,Default Title,,,,,,,,GPI-PDP,1000.0,shopify,100,deny,manual,150.00,,true,true,,,,,,/products/GPI Premium Detergent Powder.png,1,"",false,,,,kg,,150.00,active
gpi-pav-bhaji-100g,GPI Pav Bhaji 100g,<p>Authentic Pav Bhaji Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-PB-100,100.0,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Pav Bhaji 100g.png,1,"",false,,,,kg,,65.00,active
gpi-paneer-masala-100g,GPI Paneer Masala 100g,<p>Flavorful Paneer Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-PM-100,100.0,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Paneer Masala 100g.png,1,"",false,,,,kg,,65.00,active
gpi-ktchen-king-100g,GPI Kitchen King 100g,<p>Versatile Kitchen King Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-KK-100,100.0,shopify,100,deny,manual,70.00,,true,true,,,,,,/products/GPI Ktchen King 100g.png,1,"",false,,,,kg,,70.00,active
gpi-himalayan-pink-salt,GPI Himalayan Pink Salt,<p>Natural Himalayan Pink Salt from GPI.</p>,GPI,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GPI-HPS,500.0,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Himalayan Pink Salt.png,1,"",false,,,,kg,,65.00,active
gpi-himalayan-pink-salt-1kg,GPI Himalayan Pink Salt 1Kg,<p>Natural Himalayan Pink Salt from GPI.</p>,GPI,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GPI-HPS-1K,1000.0,shopify,100,deny,manual,95.00,,true,true,,,,,,/products/GPI Himalayan Pink Salt 1Kg.png,1,"",false,,,,kg,,95.00,active
gpi-gold-detergent-powder,GPI Gold Detergent Powder,<p>Powerful Gold Detergent Powder from GPI.</p>,GPI,Uncategorized,"",Detergent,true,Title,Default Title,,,,,,,,GPI-GDP,1000.0,shopify,100,deny,manual,120.00,,true,true,,,,,,/products/GPI Gold Detergent Powder.png,1,"",false,,,,kg,,120.00,active
gpi-garam-masala-100g,GPI Garam Masala 100g,<p>Classic Garam Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-GM-100,100.0,shopify,100,deny,manual,85.00,,true,true,,,,,,/products/GPI Garam Masala 100g.png,1,"",false,,,,kg,,85.00,active
gpi-egg-curry-100g,GPI Egg Curry 100g,<p>Tasty Egg Curry Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-EC-100,100.0,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Egg Curry 100g.png,1,"",false,,,,kg,,65.00,active
gpi-dal-makhani-100g,GPI Dal Makhani 100g,<p>Rich Dal Makhani Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-DM-100,100.0,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Dal Makhani 100g.png,1,"",false,,,,kg,,65.00,active
gpi-coriander-powder,GPI Coriander Powder,<p>Pure Coriander Powder from GPI.</p>,GPI,Uncategorized,"",Spices,true,Title,Default Title,,,,,,,,GPI-CP,250.0,shopify,100,deny,manual,55.00,,true,true,,,,,,/products/GPI Coriander Powder.png,1,"",false,,,,kg,,55.00,active
gpi-chicken-masala-100g,GPI Chicken Masala 100g,<p>Premium Chicken Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-CKM-100,100.0,shopify,100,deny,manual,75.00,,true,true,,,,,,/products/GPI Chicken Masala 100g.png,1,"",false,,,,kg,,75.00,active
gpi-chana-masala-100g,GPI Chana Masala 100g,<p>Delicious Chana Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-CNM-100,100.0,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Chana Masala 100g.png,1,"",false,,,,kg,,65.00,active
gpi-chaat-masala-100g,GPI Chaat Masala 100g,<p>Authentic Chaat Masala from GPI.</p>,GPI,Uncategorized,"",Masala,true,Title,Default Title,,,,,,,,GPI-CHM-100,100.0,shopify,100,deny,manual,65.00,,true,true,,,,,,/products/GPI Chaat Masala 100g.png,1,"",false,,,,kg,,65.00,active
gpi-black-salt-200g,GPI Black Salt 200g,<p>High quality Black Salt from GPI.</p>,GPI,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GPI-BS-200,200.0,shopify,100,deny,manual,45.00,,true,true,,,,,,/products/GPI Black Salt 200g.png,1,"",false,,,,kg,,45.00,active
